,,frequency,intensity,velocity,corrected velocity
l=60,peak 1,-40000,1.302,8.442717565,4.982717565
,peak 2,310000,0.8219,-65.41494181,-68.87494181
,,,,,
l=70,peak 1,-25000,1.6833,5.276642753,0.486642753
,peak 2,355000,0.9679,-74.9082865,-79.6982865
,,,,,
l=75,peak 1,-5000,1.4156,1.055313691,-4.394686309
,peak 2,370000,0.7074,-78.0726011,-83.5226011
,,,,,
l=80,peak 1,-10000,1.2268,2.110634812,-3.709365188
,peak 2,355000,0.5339,-74.9082865,-80.7282865
,,,,,
l=88,peak 1,0,0.8404,0,-6.64
,peak 2,380000,0.5975,-80.18210704,-86.82210704
,,,,,
l=90,peak 1,-5000,0.7656,1.055313691,-5.764686309
,peak 2,360000,0.5319,-75.96306546,-82.78306546
